message,label
मम्मी ने दवाई लाने को कहा है।,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
जूते पर 60% की छूट!,spam
इस कोड से फ्री रिचार्ज पाएं।,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
मम्मी ने दवाई लाने को कहा है।,ham
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
Are you free for dinner tonight?,ham
"Work from home and earn ₹50,000 per week.",scam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
ক্লাস কখন শেষ হবে?,ham
Final warning: Your card will be blocked. Act now.,fraud
क्लास कब खत्म होगी?,ham
इस कोड से फ्री रिचार्ज पाएं।,spam
Flat 50% off on shoes. Shop now!,spam
Hurry! Limited-time offer on electronics.,spam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
We detected unusual activity. Click to secure your account.,fraud
Get free recharge using this code.,spam
जूते पर 60% की छूट!,spam
क्लास कब खत्म होगी?,ham
इस कोड से फ्री रिचार्ज पाएं।,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
क्या आज मिल सकते हैं?,ham
Are you free for dinner tonight?,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
"You've won a lottery of ₹1,00,000. Claim now!",scam
দয়া করে আপনার KYC আপডেট করুন।,fraud
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
Get free recharge using this code.,spam
We detected unusual activity. Click to secure your account.,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
मम्मी ने दवाई लाने को कहा है।,ham
We detected unusual activity. Click to secure your account.,fraud
क्या आज मिल सकते हैं?,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
यह ऑफर सीमित समय के लिए है।,spam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Don't forget the meeting at 5 PM.,ham
क्या आज मिल सकते हैं?,ham
यह ऑफर सीमित समय के लिए है।,spam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
यह ऑफर सीमित समय के लिए है।,spam
Don't forget the meeting at 5 PM.,ham
We detected unusual activity. Click to secure your account.,fraud
मम्मी ने दवाई लाने को कहा है।,ham
ক্লাস কখন শেষ হবে?,ham
Are you free for dinner tonight?,ham
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
"You've won a lottery of ₹1,00,000. Claim now!",scam
Call me when you're done.,ham
Get free recharge using this code.,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
Don't forget the meeting at 5 PM.,ham
